No,Combined Capacity,Individual Probability,Cumulative Probability,Reversed Cumulative Probability
54,610.0,0.00012261998085243383,0.0006484731700962467,0.9994741468107564
55,605.0,0.00012559979996094964,0.0005258531892438128,0.9995997466107174
56,600.0,7.84957734822251e-05,0.00040025338928286326,0.9996782423841996
57,595.0,7.919035554877897e-05,0.00032175761580063817,0.9997574327397484
58,590.0,4.922282437526095e-05,0.0002425672602518592,0.9998066555641236
59,585.0,4.840780748249535e-05,0.00019334443587659824,0.9998550633716061
60,580.0,2.983903225276288e-05,0.0001449366283941029,0.9998849024038589
61,575.0,2.9469777714674838e-05,0.00011509759614134,0.9999143721815735
62,570.0,1.820661476279225e-05,8.562781842666516e-05,0.9999325787963363
63,565.0,1.7569989324705035e-05,6.74212036638729e-05,0.999950148785661
64,560.0,1.0763303732581976e-05,4.985121433916787e-05,0.9999609120893936
65,555.0,1.0391212900318583e-05,3.908791060658589e-05,0.999971303302294
66,550.0,6.371865035580706e-06,2.8696697706267304e-05,0.9999776751673296
67,545.0,6.076031978613967e-06,2.2324832670686598e-05,0.9999837511993083
68,540.0,3.708665269670386e-06,1.624880069207263e-05,0.9999874598645779
69,535.0,3.4725337487590125e-06,1.2540135422402242e-05,0.9999909323983267
70,530.0,2.1062526781365376e-06,9.06760167364323e-06,0.9999930386510049
71,525.0,1.96787952665382e-06,6.961348995506693e-06,0.9999950065305315
72,520.0,1.193393456578925e-06,4.993469468852874e-06,0.9999961999239881
73,515.0,1.093357602258318e-06,3.8000760122739487e-06,0.9999972932815904
74,510.0,6.581276236876022e-07,2.7067184100156307e-06,0.9999979514092141
75,505.0,6.001316085742142e-07,2.0485907863280283e-06,0.9999985515408226
76,500.0,3.6086998096761005e-07,1.4484591777538142e-06,0.9999989124108036
77,495.0,3.2505931969346407e-07,1.0875891967862043e-06,0.9999992374701233
78,490.0,1.9454746706169283e-07,7.625298770927402e-07,0.9999994320175903
79,485.0,1.726814658281248e-07,5.679824100310474e-07,0.9999996046990561
80,480.0,1.0280031244196244e-07,3.9530094420292266e-07,0.9999997074993686
81,475.0,9.065034299554178e-08,2.9250063176096023e-07,0.9999997981497116
82,470.0,5.385501070443029e-08,2.0185028876541842e-07,0.9999998520047223
83,465.0,4.6697089252729654e-08,1.4799527806098814e-07,0.9999998987018116
84,460.0,2.7558369993867577e-08,1.0129818880825848e-07,0.9999999262601816
85,455.0,2.3690519271345296e-08,7.37398188143909e-08,0.999999949950701
86,450.0,1.3941851126793894e-08,5.004929954304561e-08,0.9999999638925521
87,445.0,1.1824391565093861e-08,3.6107448416251714e-08,0.9999999757169437
88,440.0,6.921336731687416e-09,2.4283056851157857e-08,0.9999999826382804
89,435.0,5.787298123165487e-09,1.736172011947044e-08,0.9999999884255785
90,430.0,3.3691614906771617e-09,1.1574421996304955e-08,0.99999999179474
91,425.0,2.786943389021254e-09,8.205260505627793e-09,0.9999999945816833
92,420.0,1.6159258799196089e-09,5.418317116606539e-09,0.9999999961976092
93,415.0,1.315667494421727e-09,3.80239123668693e-09,0.9999999975132766
94,410.0,7.578857584656898e-10,2.4867237422652027e-09,0.9999999982711624
95,405.0,6.096571826878537e-10,1.7288379837995128e-09,0.9999999988808196
96,400.0,3.4957590352708105e-10,1.119180801111659e-09,0.9999999992303955
97,395.0,2.7689187675190985e-10,7.69604897584578e-10,0.9999999995072874
98,390.0,1.577383863181924e-10,4.927130208326682e-10,0.9999999996650257
99,385.0,1.2295333076792925e-10,3.349746345144758e-10,0.999999999787979
100,380.0,6.957954582567615e-11,2.1202130374654657e-10,0.9999999998575586
101,375.0,5.3374059464844565e-11,1.4244175792087042e-10,0.9999999999109327
102,370.0,3.000102756456229e-11,8.906769845602586e-11,0.9999999999409337
103,365.0,2.2596996104056373e-11,5.906667089146357e-11,0.9999999999635307
104,360.0,1.2600399714728873e-11,3.6469674787407194e-11,0.9999999999761311
105,355.0,9.327890115093471e-12,2.386927507267832e-11,0.999999999985459
106,350.0,5.162456665651544e-12,1.454138495758485e-11,0.9999999999906214
107,345.0,3.748475446345817e-12,9.378928291933305e-12,0.9999999999943698
108,340.0,2.056363234885087e-12,5.630452845587488e-12,0.9999999999964262
109,335.0,1.4629603909264819e-12,3.5740896107024004e-12,0.9999999999978891
110,330.0,7.950594289419334e-13,2.1111292197759187e-12,0.9999999999986842
111,325.0,5.527594337620526e-13,1.3160697908339855e-12,0.9999999999992369
112,320.0,2.9712127239121935e-13,7.633103570719329e-13,0.999999999999534
113,315.0,2.0125351574293674e-13,4.661890846807135e-13,0.9999999999997353
114,310.0,1.0680462945736916e-13,2.6493556893777686e-13,0.9999999999998421
115,305.0,7.026266633960196e-14,1.581309394804077e-13,0.9999999999999124
116,300.0,3.674259886301847e-14,8.786827314080575e-14,0.9999999999999492
117,295.0,2.3403091916986582e-14,5.112567427778728e-14,0.9999999999999726
118,290.0,1.203346629809105e-14,2.7722582360800697e-14,0.9999999999999846
