,Combined Capacity,Individual Probability,Cumulative Probability,Reversed Cumulative Probability
43,665.0,0.0015305495661949173,0.00752786081599064,0.9940026887502031
44,660.0,0.000970603338178073,0.005997311249795722,0.9949732920883813
45,655.0,0.0010609977477383963,0.0050267079116176495,0.9960342898361196
46,650.0,0.0006761105078643367,0.003965710163879253,0.996710400343984
47,645.0,0.0007223455671797337,0.0032895996560149167,0.9974327459111637
48,640.0,0.0004568201322936265,0.002567254088835183,0.9978895660434574
49,635.0,0.00047027834012166854,0.0021104339565415566,0.998359844383579
50,630.0,0.0002940238138812461,0.001640155616419888,0.9986538681974603
51,625.0,0.0003074490635630063,0.0013461318025386419,0.9989613172610233
52,620.0,0.00019340234735793128,0.0010386827389756356,0.9991547196083813
53,615.0,0.00019680722152145934,0.0008452803916177043,0.9993515268299028
54,610.0,0.00012261998085243353,0.0006484731700962449,0.9994741468107552
55,605.0,0.00012559979996094934,0.0005258531892438114,0.9995997466107162
56,600.0,7.84957734822249e-05,0.00040025338928286207,0.9996782423841983
57,595.0,7.919035554877875e-05,0.0003217576158006372,0.9997574327397472
58,590.0,4.9222824375260815e-05,0.00024256726025185843,0.9998066555641224
59,585.0,4.840780748249521e-05,0.00019334443587659762,0.9998550633716049
60,580.0,2.9839032252762788e-05,0.0001449366283941024,0.9998849024038576
61,575.0,2.946977771467475e-05,0.00011509759614133962,0.9999143721815723
62,570.0,1.820661476279219e-05,8.562781842666487e-05,0.9999325787963351
63,565.0,1.7569989324704977e-05,6.742120366387268e-05,0.9999501487856598
64,560.0,1.0763303732581939e-05,4.985121433916769e-05,0.9999609120893924
65,555.0,1.0391212900318547e-05,3.9087910606585755e-05,0.9999713033022928
66,550.0,6.371865035580684e-06,2.869669770626721e-05,0.9999776751673284
67,545.0,6.076031978613948e-06,2.2324832670686526e-05,0.999983751199307
68,540.0,3.708665269670374e-06,1.624880069207258e-05,0.9999874598645767
69,535.0,3.472533748759002e-06,1.2540135422402205e-05,0.9999909323983255
70,530.0,2.106252678136531e-06,9.067601673643203e-06,0.9999930386510036
71,525.0,1.967879526653814e-06,6.961348995506671e-06,0.9999950065305303
72,520.0,1.1933934565789208e-06,4.9934694688528575e-06,0.9999961999239869
73,515.0,1.0933576022583147e-06,3.8000760122739364e-06,0.9999972932815892
74,510.0,6.581276236876001e-07,2.7067184100156218e-06,0.9999979514092129
75,505.0,6.001316085742124e-07,2.0485907863280216e-06,0.9999985515408214
76,500.0,3.608699809676089e-07,1.4484591777538094e-06,0.9999989124108024
77,495.0,3.2505931969346295e-07,1.0875891967862005e-06,0.9999992374701221
78,490.0,1.9454746706169208e-07,7.625298770927375e-07,0.9999994320175891
79,485.0,1.7268146582812416e-07,5.679824100310454e-07,0.9999996046990549
80,480.0,1.028003124419621e-07,3.9530094420292123e-07,0.9999997074993674
81,475.0,9.065034299554146e-08,2.925006317609591e-07,0.9999997981497104
82,470.0,5.3855010704430085e-08,2.0185028876541765e-07,0.9999998520047211
83,465.0,4.669708925272948e-08,1.4799527806098756e-07,0.9999998987018104
84,460.0,2.7558369993867468e-08,1.0129818880825809e-07,0.9999999262601804
85,455.0,2.3690519271345204e-08,7.373981881439063e-08,0.9999999499506997
86,450.0,1.394185112679384e-08,5.004929954304542e-08,0.9999999638925509
87,445.0,1.182439156509382e-08,3.610744841625158e-08,0.9999999757169424
88,440.0,6.92133673168739e-09,2.4283056851157764e-08,0.9999999826382792
89,435.0,5.787298123165466e-09,1.7361720119470374e-08,0.9999999884255772
90,430.0,3.369161490677148e-09,1.1574421996304909e-08,0.9999999917947388
